Hours,Scenarios,WindCF
5,36,0.006512284
5,37,0
5,38,0.227375465
5,39,0.726151623
5,40,0
5,41,0
5,42,0.134006511
5,43,0.052725123
5,44,0
5,45,0.099495565
5,46,0.068338849
5,47,0.010777195
5,48,0.074932054
5,49,0.185329727
5,50,0.266017696
5,51,0
5,52,0.059666703
5,53,0.14791144
5,54,0.239338805
5,55,0.061053288
5,56,0.120223873
5,57,0.079735069
5,58,0.138699529
5,59,0.094427824
5,60,0.642277173
5,61,0.062319593
5,62,0.193980232
5,63,0.077853168
5,64,0
5,65,0.057227418
5,66,0.063165714
5,67,0.200599276
5,68,0.090350427
5,69,0.464479798
5,70,0.069616766
5,71,0.265510345
5,72,0.23285866
5,73,0.917178955
5,74,0.230005441
5,75,0.668403735
5,76,0
5,77,0.343175947
5,78,0.075960933
5,79,0.536843553
5,80,1
5,81,0.178966273
5,82,0.009427449
5,83,0.987554754
5,84,0.291249356
5,85,0.046680339
5,86,0
5,87,0.220352993
5,88,1
5,89,1
5,90,0.058976994
6,1,0.543054808
6,2,0.217384738
6,3,0.318306237
6,4,0.389795682
6,5,0
6,6,0.113581554
6,7,0.206434901
6,8,0.100131537
6,9,0.318498637
6,10,0.438607993
6,11,0.34665522
6,12,1
6,13,1
6,14,0.174189838
6,15,0.246553375
6,16,0.561908718
6,17,0.063719527
6,18,1
6,19,0.0796512
6,20,1
6,21,0.087042189
6,22,0.157138173
6,23,0
6,24,0.250198076
6,25,0.098270615
6,26,1
6,27,0.32746102
6,28,0.09237358
6,29,1
6,30,0.615459066
6,31,1
6,32,0.182960625
6,33,0.016621619
6,34,0.220257737
6,35,0.172989613
6,36,0
6,37,0
6,38,0.358731143
6,39,0.674120955
6,40,0
6,41,0
6,42,0.10547044
6,43,0.037033046
6,44,0
6,45,0.079363252
6,46,0.057456567
6,47,0.046967428
6,48,0.05443625
6,49,0.17638972
6,50,0.263135315
6,51,0.009772607
6,52,0.079698455
6,53,0.195329614
6,54,0.183481158
6,55,0.07046685
6,56,0.131197346
6,57,0.073199862
6,58,0.112811896
6,59,0.044597791
6,60,0.639993507
6,61,0.029171108
6,62,0.125682269
6,63,0.082816947
6,64,0
6,65,0.075523763
